#timestamp x y z qx qy qz qw id
1716395662.680894 2.783170 4.089779 6.305017 0.054713 0.011783 0.973135 -0.223328 469
1716395663.681142 3.191117 4.286940 6.294780 0.053390 0.008819 0.973199 -0.223507 470
1716395664.814900 3.644073 4.509545 6.281290 0.048247 0.010467 0.973609 -0.222818 471
1716395665.815166 4.022040 4.695937 6.268351 0.025041 0.003458 0.974246 -0.224065 472
1716395666.815386 4.372206 4.855484 6.255835 0.016846 0.002203 0.973554 -0.227825 473
1716395667.948999 4.762118 5.079348 6.247551 0.015941 0.004513 0.941947 -0.335353 476
1716395668.949141 4.825511 5.177263 6.248187 0.016406 -0.000820 0.881483 -0.471931 477
1716395669.949382 4.815928 5.157533 6.251859 -0.014952 0.003027 -0.825969 0.563509 478
1716395671.283032 4.937212 5.385296 6.247652 -0.008302 -0.000256 -0.818335 0.574681 480
1716395672.283273 4.939382 5.619180 6.240786 -0.017665 0.010677 -0.783893 0.620553 481
1716395673.283509 4.962357 5.791255 6.246653 -0.017742 0.008214 -0.749116 0.662150 482
1716395674.283705 5.098297 5.998296 6.239927 -0.016047 0.008319 -0.742522 0.669578 483
1716395675.283919 5.010462 6.206594 6.240461 -0.021526 0.014288 -0.741173 0.670817 484
1716395676.284084 5.052366 6.384648 6.244219 -0.022123 0.009818 -0.742474 0.669438 485
1716395677.284148 5.145390 6.581486 6.239174 -0.010516 0.008984 -0.714335 0.699668 486
1716395678.284315 4.999298 6.790153 6.246905 -0.014215 0.014292 -0.644709 0.764162 487
1716395679.284552 5.030412 7.040173 6.243944 -0.004958 0.005013 -0.605729 0.795639 488
1716395680.284792 4.999013 7.260174 6.249546 -0.010059 0.008480 -0.605521 0.795720 489
1716395681.285031 4.811337 7.453728 6.255668 -0.006709 0.010675 -0.565614 0.824574 490
1716395682.285276 4.811674 7.712202 6.254284 -0.002410 0.003644 -0.530468 0.847694 491
1716395683.285547 4.700346 7.899587 6.261903 -0.004664 0.003328 -0.529069 0.848559 492
1716395684.285762 4.517862 8.057311 6.265046 -0.009504 0.009631 -0.528196 0.849015 493
1716395685.286002 4.514653 8.336271 6.269114 -0.004583 0.005417 -0.529746 0.848126 494
1716395686.286178 4.360814 8.509511 6.269624 -0.014425 0.012284 -0.528565 0.848682 495
1716395687.286424 4.219121 8.676802 6.276946 -0.012384 0.010546 -0.528101 0.849026 496
1716395688.286673 4.211937 8.959774 6.280527 -0.007402 0.009621 -0.529328 0.848331 497
1716395689.286848 4.021504 9.119746 6.281454 -0.017502 0.012700 -0.527313 0.849396 498
1716395690.287093 3.923304 9.308353 6.291979 -0.016734 0.010565 -0.528043 0.848987 499
1716395691.287266 3.906116 9.570502 6.288822 -0.009431 0.008346 -0.528956 0.848556 500
1716395692.287432 3.689883 9.731595 6.296759 -0.014008 0.014133 -0.528004 0.849009 501
1716395693.287677 3.643064 9.965937 6.297645 -0.008552 0.008587 -0.549092 0.835674 502
1716395694.287920 3.606009 10.191903 6.302359 -0.007450 0.008894 -0.549046 0.835711 503
1716395695.288161 3.390246 10.358221 6.310791 -0.008862 0.015185 -0.540512 0.841153 504
1716395696.288401 3.376959 10.617941 6.310574 0.001675 0.004169 -0.497782 0.867290 505
1716395697.288481 3.267347 10.815953 6.317529 -0.002310 0.006594 -0.461336 0.887198 506
1716395698.288724 3.066897 10.944562 6.318723 -0.005615 0.009990 -0.459655 0.888024 507
1716395699.355648 3.008447 11.217733 6.324877 0.007362 0.005104 -0.461809 0.886934 508
1716395700.355891 2.864732 11.389265 6.331746 0.000202 0.003763 -0.457910 0.888991 509
1716395701.422554 2.637488 11.507794 6.337256 -0.004146 0.010868 -0.392934 0.919493 510
1716395702.422704 2.537456 11.767601 6.343862 0.004820 0.007283 -0.367486 0.929988 511
1716395703.422955 2.354293 11.892986 6.349550 -0.003641 0.008047 -0.366358 0.930432 512
1716395704.423205 2.145224 11.986840 6.355062 -0.004734 0.011017 -0.386342 0.922278 513
1716395705.557173 2.045331 12.278461 6.361558 0.002219 0.005802 -0.489370 0.872054 514
1716395706.757865 2.032550 12.307017 6.366438 -0.001085 0.002971 -0.653812 0.756651 515
1716395707.891471 1.953027 12.325306 6.363358 -0.013204 0.014954 -0.728862 0.684370 517
1716395708.891714 1.990048 12.492458 6.367682 -0.015872 0.008332 -0.735581 0.677200 518
1716395709.958724 2.065891 12.540380 6.367758 -0.003967 0.002126 -0.807505 0.589844 519
1716395711.025451 2.013215 12.562207 6.363713 0.012562 -0.012917 0.891311 -0.453034 520
1716395712.091798 2.132711 12.703501 6.367390 0.010638 -0.010972 0.924759 -0.380247 522
1716395713.358648 2.400842 12.870800 6.364148 0.002700 0.004642 0.933765 -0.357846 523
1716395714.424631 2.444821 12.915728 6.369200 0.006260 0.002736 0.970023 -0.242919 524
1716395715.622715 2.413644 12.967097 6.365429 0.004665 -0.010317 0.998192 -0.059035 525
1716395716.623244 2.449907 12.939261 6.364440 0.004090 0.000036 0.999795 0.019855 526
1716395717.623487 2.552318 12.884394 6.365616 0.003780 -0.001271 0.999603 0.027909 527
1716395718.690418 2.727424 12.962801 6.363055 0.001752 -0.009374 0.994601 0.103329 528
1716395719.691665 2.873770 12.836994 6.361829 0.004800 0.003411 0.980658 0.195643 529
1716395720.692635 2.983087 12.749212 6.366152 0.005479 0.001723 0.959113 0.282966 531
1716395721.760332 3.195755 12.720057 6.363552 -0.000364 -0.001624 0.927933 0.372743 532
1716395722.827901 3.256987 12.547074 6.361044 0.006357 0.005064 0.902234 0.431170 533
1716395723.828153 3.328606 12.401554 6.365152 0.005306 0.001785 0.902262 0.431152 534
1716395724.828564 3.529182 12.331982 6.361963 0.005164 0.001569 0.871745 0.489931 535
1716395726.095878 3.637592 12.193422 6.362811 0.004544 -0.008041 0.854088 0.520046 536
1716395727.096120 3.634612 11.982005 6.360392 0.006991 -0.001314 0.854444 0.519495 537
1716395728.163118 3.808264 11.867686 6.357334 0.001345 -0.010261 0.855126 0.518318 538
1716395729.363408 3.927310 11.667858 6.354580 0.006301 0.000593 0.854141 0.520003 539
1716395730.764032 3.939988 11.126579 6.361129 0.006647 -0.003961 0.815455 0.578769 540
1716395731.764358 4.032319 10.839909 6.358012 0.006232 -0.002081 0.815033 0.579378 541
1716395733.098087 4.188442 10.465973 6.355099 0.007819 -0.002946 0.854679 0.519090 542
1716395734.098392 4.339764 10.187758 6.353232 0.007256 -0.002543 0.855047 0.518494 543
1716395735.165374 4.502288 9.891949 6.355019 0.007228 -0.001901 0.863893 0.503620 544
1716395736.232296 4.680222 9.602864 6.353500 0.006702 -0.002442 0.896090 0.443814 545
1716395737.499267 4.935563 9.292589 6.351611 0.004664 -0.004997 0.895861 0.444282 546
1716395738.499516 5.133831 9.040136 6.350477 0.005476 -0.001514 0.920504 0.390692 547
